"Monthly Climate Statistics for 'BRISBANE AERO' [040842]"
"Created on [ 13 May 2020 13:41:17 GMT+00:00]"

"040842 BRISBANE AERO"
"Commenced: 1992"
"Last Record: 2020"
"Latitude:   27.39 Degrees South"
"Longitude:  153.13 Degrees East"
"Elevation:       5 m"
"State: QLD"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean maximum temperature (Degrees C) for years 1994 to 2020 ",29.2,29.1,28.0,26.1,23.6,21.3,21.0,22.0,24.2,25.4,27.0,28.2,25.4,26,1994,2020
"Highest temperature (Degrees C) for years 1994 to 2020 ",38.1,40.2,34.9,32.2,30.6,27.9,29.5,33.7,34.9,36.7,37.9,36.5,40.2,26,1994,2020
"Date of Highest temperature for years 1994 to 2020 ",14 Jan  2018,22 Feb  2004,17 Mar  2017,04 Apr  2006,20 May  2003,16 Jun  2002,23 Jul  2016,25 Aug  2009,29 Sep  2017,30 Oct  2001,07 Nov  1994,25 Dec  2001,22 Feb  2004,N/A,1994,2020
"Lowest maximum temperature (Degrees C) for years 1994 to 2020 ",23.1,21.7,22.5,19.9,17.6,12.9,11.8,13.8,16.4,18.4,20.2,20.3,11.8,26,1994,2020
"Date of Lowest maximum temperature for years 1994 to 2020 ",24 Jan  2012,02 Feb  2018,12 Mar  2003,30 Apr  2015,31 May  2000,09 Jun  2011,27 Jul  2000,12 Aug  2005,06 Sep  2007,20 Oct  1997,06 Nov  1996,07 Dec  2011,27 Jul  2000,N/A,1994,2020
"Decile 1 maximum temperature (Degrees C) for years 1994 to 2019 ",26.8,26.8,26.2,23.9,21.4,18.8,18.6,19.6,21.6,23.0,24.3,25.6, ,22,1994,2019
"Decile 9 maximum temperature (Degrees C) for years 1994 to 2019 ",31.2,31.1,29.8,28.0,25.7,23.6,23.1,24.1,26.8,28.3,29.4,30.8, ,22,1994,2019
"Mean number of days >= 30 Degrees C for years 1994 to 2020 ",9.3,8.0,3.6,0.4,0.0,0.0,0.0,0.1,0.7,1.1,2.5,5.6,31.3,26,1994,2020
"Mean number of days >= 35 Degrees C for years 1994 to 2020 ",0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,1.0,26,1994,2020
"Mean number of days >= 40 Degrees C for years 1994 to 2020 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1994,2020
"Mean minimum temperature (Degrees C) for years 1994 to 2020 ",21.4,21.2,19.8,16.5,13.0,10.8,9.2,9.8,12.9,15.8,18.3,20.2,15.7,26,1994,2020
"Lowest temperature (Degrees C) for years 1994 to 2020 ",15.8,14.6,10.6,5.6,3.0,2.5,-0.1,1.9,3.7,7.2,8.3,13.4,-0.1,26,1994,2020
"Date of Lowest temperature for years 1994 to 2020 ",02 Jan  2012,14 Feb  1996,30 Mar  2008,29 Apr  2008,31 May  2006,21 Jun  2004,19 Jul  2007,08 Aug  1995,07 Sep  1995,17 Oct  2010,17 Nov  2006,21 Dec  2010,19 Jul  2007,N/A,1994,2020
"Highest minimum temperature (Degrees C) for years 1994 to 2020 ",27.3,28.1,25.0,23.0,21.9,18.3,18.5,19.0,20.9,22.5,24.2,25.5,28.1,26,1994,2020
"Date of Highest minimum temperature for years 1994 to 2020 ",21 Jan  2017,22 Feb  2004,21 Mar  2015,13 Apr  2014,01 May  2016,04 Jun  2004,13 Jul  2012,24 Aug  2016,22 Sep  2009,12 Oct  2017,22 Nov  2014,23 Dec  1997,22 Feb  2004,N/A,1994,2020
"Decile 1 minimum temperature (Degrees C) for years 1994 to 2019 ",18.4,18.6,17.1,13.6,8.7,5.9,4.6,5.6,8.6,12.2,14.5,16.7, ,22,1994,2019
"Decile 9 minimum temperature (Degrees C) for years 1994 to 2019 ",24.0,23.7,22.4,19.3,16.8,14.8,13.0,14.1,16.8,19.3,21.6,23.0, ,22,1994,2019
"Mean number of days <= 2 Degrees C for years 1994 to 2020 ",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,26,1994,2020
"Mean number of days <= 0 Degrees C for years 1994 to 2020 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1994,2020
"Mean daily ground minimum temperature Degrees C for years 2000 to 2020 ",19.7,19.6,18.1,14.6,10.1,8.1,5.8,6.2,9.7,13.4,16.4,18.3,13.3,18,2000,2020
"Lowest ground temperature Degrees C for years 2000 to 2020 ",12.4,10.2,7.8,0.4,-2.9,-3.5,-6.0,-3.9,0.1,2.4,3.2,9.9,-6.0,18,2000,2020
"Date of Lowest ground temperature  for years 2000 to 2020 ",11 Jan  2003,10 Feb  2002,30 Mar  2008,29 Apr  2008,24 May  2006,21 Jun  2004,19 Jul  2007,12 Aug  2008,01 Sep  2009,08 Oct  2009,17 Nov  2006,21 Dec  2010,19 Jul  2007,N/A,2000,2020
"Mean number of days ground min. temp. <= -1 Degrees C for years 2000 to 2020 ",0.0,0.0,0.0,0.0,0.2,0.4,1.6,0.8,0.0,0.0,0.0,0.0,3.0,18,2000,2020
