Month,Price,Change
Apr-00,1.2,-
May-00,1.32,9.58%
Jun-00,1.32,0.34%
Jul-00,1.35,2.29%
Aug-00,1.55,14.43%
Sep-00,1.84,18.71%
Oct-00,1.86,1.33%
Nov-00,1.97,5.76%
Dec-00,1.58,-19.65%
Jan-01,1.56,-1.11%
Feb-01,1.52,-2.59%
Mar-01,1.49,-2.50%
Apr-01,1.54,3.66%
May-01,1.58,2.53%
Jun-01,1.48,-6.19%
Jul-01,1.39,-5.89%
Aug-01,1.46,4.41%
Sep-01,1.46,0.24%
Oct-01,1.23,-15.63%
Nov-01,1.05,-14.71%
Dec-01,1,-4.66%
Jan-02,1.03,3.04%
Feb-02,1.07,4.14%
Mar-02,1.2,11.88%
Apr-02,1.25,4.00%
May-02,1.21,-2.91%
Jun-02,1.15,-5.47%
Jul-02,1.25,8.71%
Aug-02,1.33,6.93%
Sep-02,1.46,9.72%
Oct-02,1.44,-1.79%
Nov-02,1.26,-12.17%
Dec-02,1.44,14.12%
Jan-03,1.52,5.84%
Feb-03,1.78,16.53%
Mar-03,1.48,-16.50%
Apr-03,1.22,-17.72%
May-03,1.1,-9.54%
Jun-03,1.13,2.02%
Jul-03,1.18,4.63%
Aug-03,1.26,7.27%
Sep-03,1.12,-11.69%
Oct-03,1.18,5.85%
Nov-03,1.16,-1.75%
Dec-03,1.19,2.21%
Jan-04,1.3,9.32%
Feb-04,1.2,-7.49%
Mar-04,1.26,5.28%
Apr-04,1.31,3.54%
May-04,1.55,18.47%
Jun-04,1.49,-4.05%
Jul-04,1.6,7.52%
Aug-04,1.73,8.05%
Sep-04,1.94,12.44%
Oct-04,2.07,6.76%
Nov-04,1.75,-15.61%
Dec-04,1.6,-8.84%
Jan-05,1.74,9.37%
Feb-05,1.71,-2.05%
Mar-05,1.99,16.33%
Apr-05,2.04,2.45%
May-05,1.92,-5.71%
Jun-05,2.16,12.36%
Jul-05,2.21,2.59%
Aug-05,2.46,11.21%
Sep-05,2.92,18.49%
Oct-05,3.18,9.12%
Nov-05,2.31,-27.41%
Dec-05,2.33,0.63%
Jan-06,2.42,4.19%
Feb-06,2.37,-2.26%
Mar-06,2.58,8.85%
Apr-06,2.82,9.51%
May-06,2.71,-3.86%
Jun-06,2.81,3.61%
Jul-06,2.87,2.04%
Aug-06,2.8,-2.56%
Sep-06,2.39,-14.42%
Oct-06,2.31,-3.57%
Nov-06,2.25,-2.67%
Dec-06,2.3,2.54%
Jan-07,2.11,-8.36%
Feb-07,2.22,5.42%
Mar-07,2.33,4.82%
Apr-07,2.47,5.81%
May-07,2.48,0.37%
Jun-07,2.49,0.68%
